variant,depth,layer,mgkg_N_NH4,mgkg_N_NO3,mgkg_ion_NH4,mgkg_ion_NO3
CK,0,1,0.14367996288607596,1.787421159873418,0.18500974521518987,7.911348045949367
CK,10,1,0.15641173659493673,0.7836652930253163,0.20140383498734177,3.468599915810126
CK,20,2,0.11544665620253164,0.4625195606202531,0.1486550805063291,2.047169018848101
CK,30,3,0.04061032768481013,0.2368875707088608,0.05229195656202531,1.0484938086835445
CK,40,4,0.009686881097468354,0.1562301740886076,0.012473328693670885,0.691494153835443
CK,50,5,0.004136714256455696,0.14762356507594937,0.00532664705113924,0.6534002334303797
CK,60,6,1.6514846126582279e-09,0.15416609320253166,2.1265369316455697e-09,0.6823582754810127
CK,70,7,2.2155787599999998e-09,0.16100359927272728,2.8528937066666663e-09,0.7126219265454545
CK,80,8,0.006483635426181819,0.17415535516363637,0.008348664032,0.7708332315272728
FK,0,1,0.6123450011392406,2.332129959873418,0.7884870678481013,10.322296845949369
FK,10,1,0.6123450011392406,1.4126917883544303,0.7884870678481013,6.252749307341772
FK,20,2,0.421069397278481,1.056094726329114,0.5421907156962025,4.6744064225316455
FK,30,3,0.13822301468354428,0.47595571811392406,0.17798309670886073,2.1066391206455695
FK,40,4,0.03096961929113923,0.29057380203797467,0.03987808222784809,1.2861157362151898
FK,50,5,0.012294315892405063,0.23317422907594937,0.015830796481012658,1.0320580974303797
FK,60,6,1.6514846126582279e-09,0.2038778471392405,2.1265369316455697e-09,0.9023886724556962
FK,70,7,2.215579609090909e-09,0.1405986541090909,2.8528948e-09,0.6223071050181818
FK,80,8,0.017740081836363636,0.09461542269090908,0.022843046133333333,0.4187796117818181
FK_ND,0,1,0.6123450011392406,5.9480192741772155,0.7884870678481013,26.326672033670885
FK_ND,10,1,0.6123450011392406,2.570557460126582,0.7884870678481013,11.377606574050633
FK_ND,20,2,0.421069397278481,1.4601826735443038,0.5421907156962025,6.462949863417721
FK_ND,30,3,0.13822301468354428,0.7438394207088608,0.17798309670886073,3.2923256586835445
FK_ND,40,4,0.03096961929113923,0.515562396,0.03987808222784809,2.281943196
FK_ND,50,5,0.012294315892405063,0.5068469700759493,0.015830796481012658,2.2433676384303793
FK_ND,60,6,1.6514854993670888e-09,0.5465130751898732,2.1265380734177216e-09,2.4189347460759487
FK_ND,70,7,2.215579609090909e-09,0.5731499151272728,2.8528948e-09,2.5368327078545456
FK_ND,80,8,0.017740081836363636,0.6146341364727272,0.022843046133333333,2.7204470237454546
NR,0,1,0.7651741501898734,0.002637042003797468,0.9852777779746835,0.011671875421518986
NR,10,1,0.7651741501898734,0.001401888836962025,0.9852777779746835,0.006204934102784809
NR,20,2,0.25828055696202523,0.0018208121327848098,0.33257539240506323,0.008059140639113923
NR,30,3,0.2016229642405063,0.0027612243383544305,0.25962014810126577,0.012221521857341773
NR,40,4,0.3015246387341772,0.004135598422025316,0.38825870683544295,0.018304672244810125
NR,50,5,0.14766052310126582,0.00577546590721519,0.19013532025316454,0.025562929400886072
NR,60,6,0.18745087386075948,0.007591430402658228,0.2413714321518987,0.03360061379506329
NR,70,7,0.25147814145454545,0.008549869963636363,0.32381625066666664,0.037842786327272726
NR,80,8,0.31837037236363636,0.00918621774909091,0.409950144,0.04065934065818183
ZK,0,1,1.0140446867088608,0.012871494197468355,1.305736341772152,0.05697083191898734
ZK,10,1,1.0140446867088608,0.23696654099999995,1.305736341772152,1.0488433409999998
ZK,20,2,0.4129721493037974,0.7538464267594935,0.5317642807594936,3.336617910303797
ZK,30,3,0.1833219140506329,0.26127942406329113,0.23605477012658224,1.1564551810253165
ZK,40,4,0.05052304820886075,0.1483166876582278,0.06505608777215188,0.656468080063291
ZK,50,5,0.0289784081392405,0.03545187405949367,0.03731409584810126,0.15691439760379744
ZK,60,6,1.6536676898734178e-09,0.017598966527848103,2.1293479746835443e-09,0.07789521159113924
ZK,70,7,2.217357605454545e-09,0.01666814701818182,2.8551842399999995e-09,0.07377528883636364
ZK,80,8,0.11686870290909093,0.017179056905454546,0.15048618133333336,0.07603663945090909
ZK_ND,0,1,1.0140446867088608,9.15159091898734,1.305736341772152,40.50607800759493
ZK_ND,10,1,1.0140446867088608,3.515831667721519,1.305736341772152,15.561507617088608
ZK_ND,20,2,0.4129721493037974,1.690766701898734,0.5317642807594936,7.483543410759493
ZK_ND,30,3,0.1833219140506329,0.9914947936708861,0.23605477012658224,4.3884790974683545
ZK_ND,40,4,0.05052304820886075,0.7341999732151896,0.06505608777215188,3.249660266886075
ZK_ND,50,5,0.0289784081392405,0.7235543062405063,0.03731409584810126,3.2025412226962024
ZK_ND,60,6,1.6514854993670888e-09,0.7688599683797469,2.1265380734177216e-09,3.403069710151899
ZK_ND,70,7,2.215579609090909e-09,0.8915952112727272,2.8528948e-09,3.9463111385454543
ZK_ND,80,8,0.11686870290909093,1.065972332,0.15048618133333336,4.718125932
