state,variant,layer,depth,BD,NH4N_mgkg,NO3N_mgkg,NH4ion_mgkg,NO3ion_mgkg
final,NR,1,0-10 cm,1.58,0.7651741501898733,0.0017582327383506779,0.9852777779746834,0.00778215646717527
final,NR,2,10-20 cm,1.58,0.25828055696202523,0.0015698430928097467,0.33257539240506323,0.006948320498581898
final,NR,3,20-30 cm,1.58,0.20162296424050635,0.002305549377332848,0.2596201481012658,0.01020464788639614
final,NR,4,30-40 cm,1.58,0.3015246387341772,0.003477020706672342,0.38825870683544295,0.015389725483279937
final,NR,5,40-50 cm,1.58,0.1476605231012658,0.005028066830051204,0.1901353202531645,0.022254848260633488
final,NR,6,50-60 cm,1.58,0.1874508738607595,0.006766077460032341,0.24137143215189874,0.029947499164639933
final,NR,7,60-70 cm,1.65,0.2514781414545455,0.007981062785522727,0.32381625066666675,0.035325175112795454
final,NR,8,70-80 cm,1.65,0.31837037236363636,0.008980296376888993,0.409950144,0.039747907089999035
final,ZK,1,0-10 cm,1.58,1.0140446867088608,0.0447396435693472,1.305736341772152,0.19802321896753888
final,ZK,2,10-20 cm,1.58,0.4129721493037975,0.7536027100674875,0.5317642807594937,3.335539189956095
final,ZK,3,20-30 cm,1.58,0.18332191405063297,0.42013819903315824,0.23605477012658235,1.8595838488255634
final,ZK,4,30-40 cm,1.58,0.05052304820886075,0.1899729648874747,0.06505608777215188,0.8408439366646899
final,ZK,5,40-50 cm,1.58,0.028978408139240516,0.0768741325013962,0.037314095848101275,0.34025445798797843
final,ZK,6,50-60 cm,1.58,1.6560386721347469e-09,0.01768674142299494,2.132400973969367e-09,0.07828371417843799
final,ZK,7,60-70 cm,1.65,2.2185381065647273e-09,0.01671512842134364,2.8567043142346666e-09,0.0739832343617073
final,ZK,8,70-80 cm,1.65,0.1168687029090909,0.0167636785402488,0.15048618133333333,0.07419812321776076
final,ZK_ND,1,0-10 cm,1.58,1.0140446867088608,5.634544334319485,1.305736341772152,24.939193017212794
final,ZK_ND,2,10-20 cm,1.58,0.4129721493037975,2.334961353562785,0.5317642807594937,10.334828946069115
final,ZK_ND,3,20-30 cm,1.58,0.18332191405063297,1.2521232695967723,0.23605477012658235,5.542053101191709
final,ZK_ND,4,30-40 cm,1.58,0.05052304820886075,0.7822060640692214,0.06505608777215188,3.462141187218588
final,ZK_ND,5,40-50 cm,1.58,0.028978408139240516,0.7194732854404936,0.037314095848101275,3.184478117784797
final,ZK_ND,6,50-60 cm,1.58,1.651485499367089e-09,0.7355058050408735,2.126538073417722e-09,3.2554400407269495
final,ZK_ND,7,60-70 cm,1.65,2.21557960909091e-09,0.8012615247903095,2.8528948000000008e-09,3.54648302300122
final,ZK_ND,8,70-80 cm,1.65,0.1168687029090909,1.014228448046124,0.15048618133333333,4.489101075184879
final,FK,1,0-10 cm,1.58,0.6123450011392406,1.645957591823508,0.7884870678481013,7.285212724409403
final,FK,2,10-20 cm,1.58,0.4210693972784811,1.3119251760079749,0.5421907156962026,5.80674376618519
final,FK,3,20-30 cm,1.58,0.13822301468354434,0.672111657787481,0.17798309670886078,2.9748496716203925
final,FK,4,30-40 cm,1.58,0.030969619291139252,0.34042197227572785,0.03987808222784811,1.5067499286807913
final,FK,5,40-50 cm,1.58,0.012294315892405063,0.24840835404960762,0.015830796481012658,1.0994862265964431
final,FK,6,50-60 cm,1.58,1.6514846126582279e-09,0.21430941297470882,2.1265369316455697e-09,0.9485600784126833
final,FK,7,60-70 cm,1.65,2.21557960909091e-09,0.16916550754290907,2.8528948000000008e-09,0.7487475462338181
final,FK,8,70-80 cm,1.65,0.017740081836363636,0.10718385298873684,0.022843046133333333,0.4744090452413684
final,FK_ND,1,0-10 cm,1.58,0.6123450011392406,3.7723513791636076,0.7884870678481013,16.696895718910444
final,FK_ND,2,10-20 cm,1.58,0.4210693972784811,1.9274822053344305,0.5421907156962026,8.531275628321772
final,FK_ND,3,20-30 cm,1.58,0.13822301468354434,1.0015499840485063,0.17798309670886078,4.432984618904202
final,FK_ND,4,30-40 cm,1.58,0.030969619291139252,0.5617258694242405,0.03987808222784811,2.4862684627406964
final,FK_ND,5,40-50 cm,1.58,0.012294315892405063,0.49981592151349363,0.015830796481012658,2.2122473442577975
final,FK_ND,6,50-60 cm,1.58,1.651485499367089e-09,0.5232811271858735,2.126538073417722e-09,2.31610725887195
final,FK_ND,7,60-70 cm,1.65,2.21557960909091e-09,0.5467163571931637,2.8528948000000008e-09,2.4198344974695276
final,FK_ND,8,70-80 cm,1.65,0.017740081836363636,0.6018758886711579,0.022843046133333333,2.663977434439579
final,CK,1,0-10 cm,1.58,0.15034793299737792,1.1372296664328574,0.1935957681136829,5.033519744147144
final,CK,2,10-20 cm,1.58,0.1116851649661519,0.5995604604944622,0.14381159000637975,2.653729061760285
final,CK,3,20-30 cm,1.58,0.03930452045820379,0.32071916722173416,0.050610531696359484,1.4195428664824936
final,CK,4,30-40 cm,1.58,0.00938429140878038,0.17409553259986707,0.012083698573475951,0.7705684494302467
final,CK,5,40-50 cm,1.58,0.004001832147062658,0.14794431740223418,0.005152965876731646,0.6548199230629936
final,CK,6,50-60 cm,1.58,1.6514846126582279e-09,0.14935663309302533,2.1265369316455697e-09,0.6610710077158101
final,CK,7,60-70 cm,1.65,2.2155787600000006e-09,0.1534452011056182,2.8528937066666675e-09,0.6791675175274365
final,CK,8,70-80 cm,1.65,0.0064673868559169375,0.17013034545666025,0.008327741533243508,0.7530180386700572
